fips,County,State,Alpha code,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25,population,total cases,total deaths,hospital beds,hospital beds usage,hospital beds covid,hospital icu beds,hospital icu beds usage,hospital icu beds covid,vaccination initiated,vaccination completed,vaccination initiated ratio,vaccination completed ratio,vaccination addl dose,vaccination addl dose ratio,vaccination booster,vaccination booster ratio
12081,Manatee County,Florida,FL,27004,3076,328675,117256,403253,122931,1362,311.0,173.0,6.0,43.0,27.0,1.0,301540.0,259940.0,0.748,0.645,125404.0,0.311,56784.0,0.141
12083,Marion County,Florida,FL,26393,1117,296702,67837,365579,105676,2174,833.0,712.0,31.0,122.0,112.0,2.0,243604.0,215124.0,0.666,0.588,106880.0,0.292,43629.0,0.119
12085,Martin County,Florida,FL,10105,741,125944,47154,161000,40558,355,440.0,339.0,22.0,40.0,25.0,1.0,122542.0,105958.0,0.761,0.658,52130.0,0.324,22969.0,0.143
12086,Miami-Dade County,Florida,FL,225165,27893,1919710,668071,2716940,1547142,12350,7636.0,5320.0,176.0,1004.0,736.0,18.0,3047662.0,2420633.0,0.95,0.891,877651.0,0.323,249989.0,0.092
12087,Monroe County,Florida,FL,4873,316,63938,23504,74228,22541,0,127.0,32.0,1.0,13.0,5.0,0.0,73183.0,60581.0,0.95,0.816,25708.0,0.346,10977.0,0.148
12089,Nassau County,Florida,FL,5844,1026,73523,26823,88625,27262,92,50.0,40.0,5.0,8.0,7.0,1.0,61098.0,53238.0,0.689,0.601,24585.0,0.277,10785.0,0.122
12091,Okaloosa County,Florida,FL,18226,1515,150333,49325,210738,61967,497,430.0,331.0,4.0,59.0,56.0,2.0,168179.0,140628.0,0.798,0.667,52050.0,0.247,19028.0,0.09
12095,Orange County,Florida,FL,153469,21154,992892,406859,1393452,474111,3085,5081.0,4150.0,142.0,516.0,376.0,12.0,1210985.0,1004795.0,0.869,0.721,409871.0,0.294,145322.0,0.104
12097,Osceola County,Florida,FL,39236,4363,282891,83226,375751,143893,947,576.0,386.0,13.0,60.0,44.0,3.0,353024.0,285546.0,0.94,0.76,103989.0,0.277,34918.0,0.093
12099,Palm Beach County,Florida,FL,114375,12755,1122303,457101,1496770,479806,6005,3424.0,2536.0,60.0,419.0,234.0,7.0,1199028.0,1031553.0,0.801,0.689,483784.0,0.323,207523.0,0.139
12101,Pasco County,Florida,FL,44098,5012,442301,127810,553947,159666,1993,1395.0,1031.0,56.0,186.0,147.0,4.0,390307.0,339962.0,0.705,0.614,158515.0,0.286,64385.0,0.116
12103,Pinellas County,Florida,FL,62613,11359,752553,280336,974996,275669,3937,3082.0,2102.0,115.0,349.0,233.0,11.0,748407.0,655111.0,0.768,0.672,328168.0,0.337,148184.0,0.152
12105,Polk County,Florida,FL,70158,5857,545515,123446,724777,260323,3264,1529.0,1153.0,50.0,183.0,126.0,3.0,501501.0,431578.0,0.692,0.595,183159.0,0.253,68678.0,0.095
