County,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25
"Carver County, Minnesota",9442,1855,73810,36285
"Clay County, Minnesota",9112,1225,40946,15755
"Crow Wing County, Minnesota",4478,203,49331,16077
"Dakota County, Minnesota",35613,6267,302711,138040
"Hennepin County, Minnesota",109556,25360,882259,471890
"Olmsted County, Minnesota",12604,3306,112724,54688
"Ramsey County, Minnesota",49865,9686,364034,170436
"Rice County, Minnesota",9454,498,44018,13975
"St. Louis County, Minnesota",25799,2412,137077,44254
"Scott County, Minnesota",12963,1907,101970,43629
"Sherburne County, Minnesota",9148,482,65548,20413
"Stearns County, Minnesota",24103,2824,99134,30205
"Washington County, Minnesota",20037,3083,190359,91417
"Wright County, Minnesota",10687,756,97453,31860
"DeSoto County, Mississippi",16536,276,127720,36365
"Forrest County, Mississippi",12932,1645,47309,14339
"Harrison County, Mississippi",19628,1053,142325,37256
"Hinds County, Mississippi",24023,3255,143721,45328
"Jackson County, Mississippi",12931,700,99236,26051
"Jones County, Mississippi",5960,136,44334,9340
"Lamar County, Mississippi",6116,789,43305,14089
"Lauderdale County, Mississippi",6611,571,47886,12493
"Lee County, Mississippi",8401,773,54090,12914
"Madison County, Mississippi",9885,1569,74643,35860
"Rankin County, Mississippi",14717,976,109215,38502
"Boone County, Missouri",35898,4488,114607,59073
"Buchanan County, Missouri",7430,477,56791,13465
"Cape Girardeau County, Missouri",11330,1959,54778,18983
"Cass County, Missouri",8768,919,76121,22390
"Christian County, Missouri",6486,838,63101,19657
"Clay County, Missouri",19266,3190,177758,62881
"Cole County, Missouri",6116,950,54271,19831
"Franklin County, Missouri",7892,974,74584,15090
"Greene County, Missouri",40587,6540,200541,65845
"Jackson County, Missouri",61608,10254,490221,167751
"Jasper County, Missouri",11923,1142,81837,21915
"Jefferson County, Missouri",18224,2344,159816,41341
"Platte County, Missouri",8643,1538,76467,33394
"St. Charles County, Missouri",34241,5830,287265,117421
"St. Francois County, Missouri",5581,171,47092,8335
"St. Louis County, Missouri",85024,17801,690184,332538
"St. Louis city, Missouri",25426,3830,209581,87730
"Cascade County, Montana",7820,344,58201,16311
"Flathead County, Montana",7540,593,80003,28070
"Gallatin County, Montana",20294,2923,81345,43747
"Lewis and Clark County, Montana",5500,1264,52986,23055
"Missoula County, Montana",16646,2553,82903,39057
"Yellowstone County, Montana",13052,1626,118421,42015
"Douglas County, Nebraska",54598,9918,385304,163807
"Lancaster County, Nebraska",49116,5373,203607,83788
"Sarpy County, Nebraska",17714,2214,127673,55024
"Clark County, Nevada",195684,12345,1612099,436898
"Washoe County, Nevada",44840,6034,349571,110180
"Cheshire County, New Hampshire",7771,399,56127,22473
"Grafton County, New Hampshire",9760,1053,67164,30188
"Hillsborough County, New Hampshire",34837,5172,308732,125719
"Merrimack County, New Hampshire",12981,2104,114391,46920
"Rockingham County, New Hampshire",22527,4302,238592,110190
"Strafford County, New Hampshire",18898,1865,90024,38475
"Atlantic County, New Jersey",25411,2931,193298,62845
"Bergen County, New Jersey",78722,19924,677563,350858
"Burlington County, New Jersey",37794,8425,333534,139649
"Camden County, New Jersey",43033,7674,363709,132884
"Cape May County, New Jersey",4993,104,74740,28219
"Cumberland County, New Jersey",12323,1058,103185,19620
"Essex County, New Jersey",77107,11678,574470,220755
"Gloucester County, New Jersey",30826,4900,211418,78335
"Hudson County, New Jersey",54698,12968,509717,244136
"Hunterdon County, New Jersey",10084,2648,95415,55981
"Mercer County, New Jersey",38236,5028,260972,120966
"Middlesex County, New Jersey",82931,11773,595922,268145
"Monmouth County, New Jersey",53668,13957,458939,239814
"Morris County, New Jersey",42784,10828,364514,214848
"Ocean County, New Jersey",47575,6011,446582,153340
"Passaic County, New Jersey",47993,6480,345942,106153
"Salem County, New Jersey",5109,543,46984,11769
"Somerset County, New Jersey",28385,8794,246568,146397
"Sussex County, New Jersey",10936,1944,107235,43116
"Union County, New Jersey",48324,9255,389743,151812
"Warren County, New Jersey",8367,2484,81773,31966
"Bernalillo County, New Mexico",63930,7637,472501,182171
"Doña Ana County, New Mexico",33631,3776,138060,39495
"Lea County, New Mexico",8409,246,43115,5197
"McKinley County, New Mexico",6742,25,44054,6084
"Otero County, New Mexico",7853,319,46300,10159
"Sandoval County, New Mexico",12362,268,108498,37573
"San Juan County, New Mexico",10266,331,79691,14448
"Santa Fe County, New Mexico",11431,698,119111,54234
"Valencia County, New Mexico",6663,95,54070,11515
"Albany County, New York",47352,12388,212684,93158
"Bronx County, New York",133773,14118,911656,199135
"Broome County, New York",28438,3196,131695,41439
"Cattaraugus County, New York",6814,381,53755,11667
"Cayuga County, New York",5892,850,55029,14668
"Chautauqua County, New York",11203,1340,89785,23786
"Chemung County, New York",6741,1480,58065,15690
"Clinton County, New York",9430,1409,55807,16387
"Dutchess County, New York",32063,4681,211709,88921
"Erie County, New York",87651,18832,674145,253846
"Jefferson County, New York",14387,1601,74957,19991
"Kings County, New York",202612,46969,1815204,769512
"Madison County, New York",8494,531,46411,14889
"Monroe County, New York",74650,11170,526117,213516
"Nassau County, New York",118093,31490,972510,479188
"New York County, New York",148253,54030,1224634,789449
"Niagara County, New York",17551,2543,152381,43917
"Oneida County, New York",21470,1917,158982,47850
"Onondaga County, New York",49506,10052,321630,125903
"Ontario County, New York",10294,1204,81348,29079
"Orange County, New York",42047,5543,261018,80806
"Oswego County, New York",13055,1130,81457,16678
"Putnam County, New York",7998,2802,71319,32333
"Queens County, New York",171734,40877,1664139,589793
"Rensselaer County, New York",16477,1978,113271,41641
"Richmond County, New York",41084,10317,345380,117560
"Rockland County, New York",32261,7423,207590,93939
"St. Lawrence County, New York",16097,935,70893,17052
"Saratoga County, New York",19832,5035,174096,77756
"Schenectady County, New York",15353,1938,111014,42239
"Steuben County, New York",6855,1121,66171,16252
"Suffolk County, New York",140600,26602,1075415,433353
"Sullivan County, New York",5597,535,57705,16742
"Tompkins County, New York",29221,5693,61939,37402
"Ulster County, New York",17041,2280,134886,52688
"Warren County, New York",4864,1243,49668,16561
"Wayne County, New York",6417,593,66071,18309
"Westchester County, New York",86837,20907,696693,365820
"Alamance County, North Carolina",19066,773,119350,31335
"Brunswick County, North Carolina",8352,1938,123427,43257
"Buncombe County, North Carolina",23223,2280,202603,93108
"Burke County, North Carolina",6267,580,65981,14313
"Cabarrus County, North Carolina",19437,1760,157997,63682
"Caldwell County, North Carolina",6254,673,58333,12301
"Carteret County, North Carolina",4139,448,53751,19211
